City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
214,Santa Fe,AR,2021-05-28 20:42:33,-31.6333,-60.7,69.98,50,100,1.01
215,Araguari,BR,2021-05-28 20:43:30,-18.6472,-48.1872,80.89,44,100,9.91
216,Balad,IQ,2021-05-28 20:43:30,34.0164,44.1453,88.32,12,0,10.18
217,Siguiri,GN,2021-05-28 20:43:30,11.6667,-9.5,92.23,35,67,3.71
218,Thunder Bay,CA,2021-05-28 20:43:31,48.4001,-89.3168,57.11,25,1,12.66
219,Srednekolymsk,RU,2021-05-28 20:43:31,67.45,153.6833,50.05,41,10,18.77
220,Dauphin,CA,2021-05-28 20:43:32,51.1494,-100.0502,68.14,24,1,23.02
221,Necochea,AR,2021-05-28 20:43:32,-38.5473,-58.7368,52.03,68,23,25.97
222,Peace River,CA,2021-05-28 20:43:32,56.2501,-117.286,59.31,58,75,11.21
223,Huanren,CN,2021-05-28 20:43:33,41.2647,125.3667,46.69,95,70,0.89
224,Riacho De Santana,BR,2021-05-28 20:43:33,-13.6092,-42.9389,78.13,34,12,7.56
225,Karabulak,RU,2021-05-28 20:43:33,43.3036,44.8964,63.16,82,19,3.44
226,Vardo,NO,2021-05-28 20:43:34,70.3705,31.1107,34.0,80,40,26.46
227,Neiafu,TO,2021-05-28 20:43:34,-18.65,-173.9833,74.08,94,75,0.0
228,Cherskiy,RU,2021-05-28 20:43:34,68.75,161.3,49.91,41,60,17.0
229,Hithadhoo,MV,2021-05-28 20:43:35,-0.6,73.0833,83.05,75,82,17.13
230,Orbetello,IT,2021-05-28 20:41:23,42.4408,11.2196,64.62,78,100,4.18
231,Kirovskiy,RU,2021-05-28 20:43:35,45.0917,133.5136,49.46,82,100,3.74
232,Nabire,ID,2021-05-28 20:43:36,-3.3667,135.4833,75.38,92,67,3.69
233,Faya,SA,2021-05-28 20:43:36,18.3851,42.4509,71.71,47,4,2.17
234,Port-Gentil,GA,2021-05-28 20:43:36,-0.7193,8.7815,80.56,83,75,12.66
235,Constitucion,CL,2021-05-28 20:43:37,-35.3333,-72.4167,56.5,70,65,5.57
236,Naze,JP,2021-05-28 20:43:38,28.3667,129.4833,71.71,81,99,10.83
237,Mantua,IT,2021-05-28 20:43:38,45.1667,10.7833,70.12,67,52,7.27
238,Mitu,CO,2021-05-28 20:43:38,1.1983,-70.1733,80.82,85,22,0.67
239,Kuusamo,FI,2021-05-28 20:43:39,65.9667,29.1833,39.24,60,0,5.75
240,Batemans Bay,AU,2021-05-28 20:43:39,-35.7167,150.1833,48.9,72,5,9.64
241,Onverwacht,SR,2021-05-28 20:43:40,5.5833,-55.1833,80.46,94,75,3.6
242,Sandwick,GB,2021-05-28 20:43:40,60.0,-1.25,48.02,76,9,8.52
243,Padang,ID,2021-05-28 20:43:40,-0.9492,100.3543,76.55,91,97,3.83
244,Orocue,CO,2021-05-28 20:43:41,4.7912,-71.3354,82.85,72,44,7.18
245,Mao,ES,2021-05-28 20:43:41,39.8885,4.2658,64.96,82,0,3.44
246,Lichinga,MZ,2021-05-28 20:43:41,-13.3128,35.2406,55.49,82,0,6.91
247,Porto Belo,BR,2021-05-28 20:43:42,-27.1578,-48.5531,69.78,92,98,8.14
248,Aksha,RU,2021-05-28 20:43:42,50.2814,113.2867,42.6,54,2,2.91
249,Zary,PL,2021-05-28 20:43:42,51.6421,15.1373,50.92,85,47,1.01
250,Longyearbyen,SJ,2021-05-28 20:43:43,78.2186,15.6401,30.04,69,40,19.57
251,Aquidauana,BR,2021-05-28 20:43:43,-20.4711,-55.7872,89.19,34,70,8.79
252,Kavieng,PG,2021-05-28 20:43:44,-2.5744,150.7967,82.24,79,100,10.85
253,East London,ZA,2021-05-28 20:43:44,-33.0153,27.9116,64.33,63,1,12.88
254,Provideniya,RU,2021-05-28 20:43:44,64.3833,-173.3,44.55,41,5,12.37
255,Manokwari,ID,2021-05-28 20:43:44,-0.8667,134.0833,78.6,78,58,4.79
256,Den Helder,NL,2021-05-28 20:43:45,52.9599,4.7593,55.08,87,6,6.91
257,Waipawa,NZ,2021-05-28 20:43:45,-41.4122,175.5153,50.63,80,100,4.92
258,Juneau,US,2021-05-28 20:43:45,58.3019,-134.4197,51.85,91,90,4.0
259,Jamame,SO,2021-05-28 20:43:46,0.0722,42.7506,75.56,85,44,6.89
260,Bo Phloi,TH,2021-05-28 20:43:46,14.3236,99.5161,82.31,87,100,3.87
261,Port Elizabeth,ZA,2021-05-28 20:43:46,-33.918,25.5701,62.89,88,75,18.41
262,Nishihara,JP,2021-05-28 20:43:47,26.1842,127.7558,78.46,87,75,8.79
263,Minervino Murge,IT,2021-05-28 20:43:47,41.0843,16.0784,62.24,56,23,4.32
264,Hualmay,PE,2021-05-28 20:43:47,-11.0964,-77.6139,69.13,78,31,9.35
265,Lukovetskiy,RU,2021-05-28 20:43:48,64.2956,41.9211,40.98,98,75,5.7
266,Blairmore,CA,2021-05-28 20:43:48,49.6,-114.4353,52.72,46,100,12.66
267,Castro,BR,2021-05-28 20:43:49,-24.7911,-50.0119,66.97,72,62,8.93
268,Nicoya,CR,2021-05-28 20:43:49,10.1483,-85.452,92.75,57,100,1.07
269,Havre-Saint-Pierre,CA,2021-05-28 20:43:49,50.2334,-63.5986,44.96,53,75,28.77
270,Black River,JM,2021-05-28 20:43:50,18.0264,-77.8487,86.0,69,29,3.69
271,Flin Flon,CA,2021-05-28 20:43:50,54.7682,-101.865,64.24,34,90,16.33
272,Jinxiang,CN,2021-05-28 20:43:50,27.4327,120.6062,71.19,82,100,9.19
273,Codrington,AU,2021-05-28 20:43:51,-38.2667,141.9667,42.26,86,18,3.65
